product_sku,product_title,product_brand,product_series,product_short_description,product_body,product_features,product_status,store_id,sku,price,currency,attribute_watt,attribute_cct,attribute_ip_rating,attribute_length,attribute_voltage,attribute_accessories,field_lumens,field_efficacy,field_cri,field_power_factor,field_current,field_dimmable,field_dimming_protocol,field_rated_life,field_warranty_years,field_material,field_housing_color,field_mounting_type,field_weight,field_dimension_length,field_dimension_width,field_dimension_height,field_operating_temp_min,field_operating_temp_max,field_rohs,field_ce_marking,variation_status
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-5K-W3-AP,0.00,SEK,14,5000,20,500,220-240,W3,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-6K-W3-AP,0.00,SEK,14,6500,20,500,220-240,W3,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-3K-CG-AP,0.00,SEK,14,3000,20,500,220-240,CG,1680,120,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-4K-CG-AP,0.00,SEK,14,4000,20,500,220-240,CG,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-5K-CG-AP,0.00,SEK,14,5000,20,500,220-240,CG,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-6K-CG-AP,0.00,SEK,14,6500,20,500,220-240,CG,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-3K-EN-AP,0.00,SEK,14,3000,20,500,220-240,EN,1680,120,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-4K-EN-AP,0.00,SEK,14,4000,20,500,220-240,EN,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-5K-EN-AP,0.00,SEK,14,5000,20,500,220-240,EN,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-6K-EN-AP,0.00,SEK,14,6500,20,500,220-240,EN,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-3K-W1-AP,0.00,SEK,20,3000,20,500,220-240,W1,2400,120,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-4K-W1-AP,0.00,SEK,20,4000,20,500,220-240,W1,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-5K-W1-AP,0.00,SEK,20,5000,20,500,220-240,W1,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-6K-W1-AP,0.00,SEK,20,6500,20,500,220-240,W1,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-3K-W2-AP,0.00,SEK,20,3000,20,500,220-240,W2,2400,120,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-4K-W2-AP,0.00,SEK,20,4000,20,500,220-240,W2,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-5K-W2-AP,0.00,SEK,20,5000,20,500,220-240,W2,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-6K-W2-AP,0.00,SEK,20,6500,20,500,220-240,W2,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-3K-W3-AP,0.00,SEK,20,3000,20,500,220-240,W3,2400,120,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-4K-W3-AP,0.00,SEK,20,4000,20,500,220-240,W3,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-5K-W3-AP,0.00,SEK,20,5000,20,500,220-240,W3,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-6K-W3-AP,0.00,SEK,20,6500,20,500,220-240,W3,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-3K-CG-AP,0.00,SEK,20,3000,20,500,220-240,CG,2400,120,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-4K-CG-AP,0.00,SEK,20,4000,20,500,220-240,CG,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-5K-CG-AP,0.00,SEK,20,5000,20,500,220-240,CG,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-6K-CG-AP,0.00,SEK,20,6500,20,500,220-240,CG,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-3K-EN-AP,0.00,SEK,20,3000,20,500,220-240,EN,2400,120,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-4K-EN-AP,0.00,SEK,20,4000,20,500,220-240,EN,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-5K-EN-AP,0.00,SEK,20,5000,20,500,220-240,EN,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-20-6K-EN-AP,0.00,SEK,20,6500,20,500,220-240,EN,2600,130,80,0.95,0.09,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-3K-W1-AP,0.00,SEK,29,3000,20,500,220-240,W1,3480,120,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-4K-W1-AP,0.00,SEK,29,4000,20,500,220-240,W1,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-5K-W1-AP,0.00,SEK,29,5000,20,500,220-240,W1,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-6K-W1-AP,0.00,SEK,29,6500,20,500,220-240,W1,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-3K-W2-AP,0.00,SEK,29,3000,20,500,220-240,W2,3480,120,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-4K-W2-AP,0.00,SEK,29,4000,20,500,220-240,W2,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-5K-W2-AP,0.00,SEK,29,5000,20,500,220-240,W2,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-6K-W2-AP,0.00,SEK,29,6500,20,500,220-240,W2,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-3K-W3-AP,0.00,SEK,29,3000,20,500,220-240,W3,3480,120,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-4K-W3-AP,0.00,SEK,29,4000,20,500,220-240,W3,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-5K-W3-AP,0.00,SEK,29,5000,20,500,220-240,W3,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-6K-W3-AP,0.00,SEK,29,6500,20,500,220-240,W3,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-3K-CG-AP,0.00,SEK,29,3000,20,500,220-240,CG,3480,120,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-4K-CG-AP,0.00,SEK,29,4000,20,500,220-240,CG,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-5K-CG-AP,0.00,SEK,29,5000,20,500,220-240,CG,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-6K-CG-AP,0.00,SEK,29,6500,20,500,220-240,CG,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-3K-EN-AP,0.00,SEK,29,3000,20,500,220-240,EN,3480,120,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-4K-EN-AP,0.00,SEK,29,4000,20,500,220-240,EN,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-5K-EN-AP,0.00,SEK,29,5000,20,500,220-240,EN,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-29-6K-EN-AP,0.00,SEK,29,6500,20,500,220-240,EN,3770,130,80,0.95,0.13,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-3K-W1-D2,0.00,SEK,14,3000,20,500,220-240,W1,1680,120,80,0.95,0.06,1,DALI2,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
